"name","host_id","host_name","neighbourhood_group","neighbourhood","latitude","longitude","room_type","price","minimum_nights","number_of_reviews","last_review","reviews_per_month","calculated_host_listings_count","availability_365","number_of_reviews_ltm","license"
"Downtown SoCo Guest House",2476440,"Michelle",null,78704,30.25282,-97.74596,"Entire home/apt",296,2,50,"2021-10-10",24.19,4,338,16,null
"Peaceful retreat in the trees",793021,"Steve",null,78733,30.34253,-97.8616,"Entire home/apt",295,3,91,"2021-10-04",1.15,1,344,20,null
"South Austin Condo with Great View",2546917,"Clint",null,78745,30.20976,-97.81729,"Entire home/apt",250,1,0,null,null,1,0,0,null
"Elegant Upper Level Home Apartment Minutes from Downtown",2546775,"Rice",null,78705,30.29961,-97.73449,"Entire home/apt",120,2,121,"2021-09-26",121,1,115,24,null
"Downtown Oasis - Quiet Retreat!",2567934,"Alexis",null,78701,30.27936,-97.74362,"Entire home/apt",115,3,415,"2021-09-26",6.25,1,83,16,null
"""Brentwood Guest House, Modern Home, Central Locale""",2507231,"Kris",null,78757,30.34024,-97.73739,"Entire home/apt",129,2,80,"2021-09-27",0.77,1,176,12,null
"Suite Spot (Zilker)",2595932,"Amber",null,78704,30.2619,-97.76328,"Entire home/apt",99,3,469,"2021-10-03",5.52,1,3,19,null
"Beautiful SoCo House near downtown",989596,"John",null,78704,30.24852,-97.74502,"Entire home/apt",255,3,7,"2017-03-16",0.07,2,0,0,null
"Designer Oasis-East Central Austin",2457470,"Sharon",null,78702,30.27514,-97.71954,"Private room",100,2,31,"2021-10-12",0.64,1,347,6,null
"""Safe Stay/Downtown, Zilker, ACL,HotTub""",4335991,"Karen",null,78704,30.2478,-97.786,"Entire home/apt",400,2,68,"2021-09-26",0.65,1,305,20,null
"Zen Modern Home Near Downtown AUS",2771838,"Pamela",null,78704,30.25289,-97.79371,"Private room",55,30,1,"2013-10-07",0.01,1,331,0,null
"Sunny Zilker Neighborhood Studio",2839795,"Margo",null,78704,30.25881,-97.76377,"Entire home/apt",98,2,442,"2021-10-04",9.38,1,1,68,null
"Austin Getaway",7976770,"Andrew",null,78704,30.24546,-97.76627,"Entire home/apt",100,2,171,"2021-10-10",2.8,1,230,16,null
"SOCO Beautiful Bungalow to Experience ATX!!",2927288,"Tracy",null,78704,30.24373,-97.75394,"Entire home/apt",642,2,57,"2021-10-10",21.65,2,334,18,null
"Stylish Furnished Condo with Pool",1280071,"Alexis",null,78757,30.35992,-97.7331,"Entire home/apt",75,30,5,"2019-08-31",0.05,1,224,0,null
