"name","host_id","host_name","neighbourhood_group","neighbourhood","latitude","longitude","room_type","price","minimum_nights","number_of_reviews","last_review","reviews_per_month","calculated_host_listings_count","availability_365","number_of_reviews_ltm","license"
"Stay in Texas Hill Country",12303203,"Regina & Family",null,78734,30.35747,-97.96431,"Private room",72,2,19,"2015-06-22",0.22,1,0,0,null
"Charming Studio Apartment (OL-2016046974)",4250925,"Reyna",null,78722,30.30148,-97.71123,"Entire home/apt",125,2,25,"2021-10-11",0.51,1,264,8,null
"Apartment available for SXSW",12319343,"Rouzheen",null,78701,30.26977,-97.73512,"Entire home/apt",850,1,0,null,null,1,0,0,null
"Fab Room Downtown where AIRBNB CEO stays!",177441,"Ash",null,78703,30.2769,-97.75844,"Private room",155,2,45,"2021-07-26",0.79,2,345,2,null
"""Spacious House, Great Neighborhood""",6216629,"Carly",null,78745,30.20562,-97.83412,"Entire home/apt",150,2,3,"2017-03-20",0.04,1,0,0,null
"""Cute house, 1 block to bus downtown""",3848423,"Cory",null,78721,30.27886,-97.68553,"Entire home/apt",93,3,3,"2018-03-18",0.04,1,0,0,null
"Bright & Stylish North Central with Pool",12356977,"Karen",null,78757,30.3533,-97.73585,"Entire home/apt",64,90,12,"2021-09-30",0.38,3,325,2,null
"Beautiful Central Austin Home!",7335335,"Lorna",null,78731,30.32117,-97.74607,"Entire home/apt",189,2,167,"2021-09-27",1.94,2,347,14,null
"Artisan's Retreat (home & studio)",11897676,"Gale (Adriana)",null,78733,30.34837,-97.85955,"Entire home/apt",195,3,11,"2021-10-11",0.12,3,272,1,null
"""House for 2, 10 min walk to SXSW""",12392398,"Adriana",null,78704,30.25786,-97.75266,"Entire home/apt",135,1,1,"2014-03-10",0.01,1,0,0,null
"Home Away from Home 20 Min from DT",12359889,"Morgan",null,78728,30.4406,-97.67575,"Entire home/apt",550,2,0,null,null,1,0,0,null
"Cozy 2 BD near downtown",12404478,"Erika",null,78702,30.25847,-97.71433,"Entire home/apt",400,3,0,null,null,1,0,0,null
"The Silver Screen Cinema Suite",4929310,"Ryan",null,78701,30.2646,-97.74159,"Entire home/apt",480,1,184,"2021-09-27",2.64,28,238,14,null
"""Monthly Safe, Clean and Comfortable SuperHost Home""",12426659,"Patrick",null,78745,30.18917,-97.82255,"Private room",35,31,40,"2020-06-01",0.43,2,314,0,null
"SXSW Zilker Neighborhood Bungalow",2350380,"Nessa",null,78704,30.24749,-97.77812,"Entire home/apt",500,1,15,"2018-05-20",0.22,1,363,0,null
"Stay w/ Friendly Dogs in Austin Artist Home",12432655,"Nicole",null,78754,30.35674,-97.64083,"Private room",50,1,309,"2021-09-18",3.81,1,40,47,null
"Beautiful Golf Course Home",12446229,"Peter",null,78738,30.34219,-97.98699,"Private room",95,1,0,null,null,1,363,0,null
"""Cute house, perfect for SXSW""",10367253,"Scott",null,78701,30.27863,-97.74313,"Entire home/apt",400,1,0,null,null,1,0,0,null
"Charming Travis Heights 3 BR Bungalow Walk to SoCo",3273010,"Anna",null,78704,30.2422,-97.74235,"Entire home/apt",400,3,0,null,null,1,0,0,null
"House Overview",12478149,"Patrick",null,78705,30.29925,-97.73819,"Entire home/apt",1200,1,0,null,null,1,0,0,null
"Serene setting in home on NW Hills Greenbelt",12486058,"Yvonne",null,78759,30.38498,-97.75729,"Private room",40,30,31,"2021-07-16",1.22,1,42,1,null
"SXSW Apt. in Hyde Park",5216713,"Krishnan",null,78751,30.30501,-97.72889,"Entire home/apt",350,1,0,null,null,1,0,0,null
"Bouldin Creek Cottage - MINIMUM 3 MONTH RENTAL",7764443,"Joyce",null,78704,30.24202,-97.75405,"Entire home/apt",120,30,9,"2015-08-04",0.1,2,347,0,null
"SXSW- Master Bedroom by Metro Rail!",12534992,"Chance",null,78702,30.28099,-97.70738,"Private room",275,2,0,null,null,1,362,0,null
"East Austin Airstream-Walk to 6th",12541452,"Sam And Elena",null,78702,30.26517,-97.71781,"Entire home/apt",101,3,167,"2021-10-11",1.81,2,97,6,null
"Large room minutes from downtown",12546820,"Morgan",null,78741,30.22504,-97.69524,"Private room",40,1,17,"2016-01-01",0.22,1,0,0,null
"Charming  House in South Central Austin",12546753,"Allisun",null,78745,30.2081,-97.81342,"Entire home/apt",207,2,5,"2021-09-19",0.14,1,0,3,null
"2bed/2bath *4 MILES* from Downtown!",12549104,"Brandi",null,78704,30.23478,-97.78802,"Entire home/apt",300,1,1,"2014-03-18",0.01,1,0,0,null
"West Austin condo for SXSW",12553403,"Charlie",null,78703,30.28984,-97.77338,"Entire home/apt",375,7,0,null,null,1,0,0,null
"Heart of South Austin - 78704",9093395,"Cody",null,78704,30.24243,-97.77869,"Entire home/apt",165,90,2,"2014-11-07",0.02,2,296,0,null
"SXSW Rental - House - Sleeps 12+",12574160,"Nick",null,78737,30.21682,-97.99589,"Entire home/apt",2500,1,0,null,null,1,0,0,null
"SxSW  Modern TXstone house&lots charm!",6364170,"Adriana",null,78703,30.29597,-97.78039,"Entire home/apt",470,3,116,"2021-10-11",1.61,2,227,14,null
"HUGE Hyde Park Bedroom for SXSW",5836852,"Travis",null,78705,30.29654,-97.73348,"Private room",200,1,0,null,null,2,0,0,null
"SOUTH AUSTIN ARTIST PAD",12584341,"Jason",null,78704,30.24271,-97.78152,"Entire home/apt",125,3,1,"2014-05-28",0.01,1,0,0,null
"West Campus Co-op Perfect for SXSW!",12586038,"Avery",null,78705,30.2926,-97.74416,"Shared room",120,1,1,"2015-03-21",0.01,1,0,0,null
"ACL Perfection: Modern 1/1 Walk to Shows!",4285129,"Kirsten",null,78703,30.26906,-97.7552,"Entire home/apt",550,3,0,null,null,1,0,0,null
"""Secret Eastside Garden Bungalow, Walk to E. 6th""",12541452,"Sam And Elena",null,78702,30.26391,-97.7169,"Entire home/apt",182,3,3,"2021-10-02",0.04,2,160,2,null
"Gorgeous Bungalow in Hip South ATX",12435810,"Auburn",null,78704,30.23485,-97.76899,"Entire home/apt",160,2,26,"2017-05-29",0.28,1,0,0,null
"CHARMING CENTRAL HOUSE FOR SXSW",12616608,"Stephanie",null,78752,30.32943,-97.7217,"Entire home/apt",250,4,0,null,null,1,0,0,null
"\"Cabin on Campus\" for SXSW",5836852,"Travis",null,78705,30.29669,-97.73507,"Private room",300,1,0,null,null,2,0,0,null
"Hip and Happy Home in SE Austin",12618573,"Bevyn",null,78741,30.2313,-97.71194,"Private room",91,1,8,"2017-03-16",0.09,1,0,0,null
"Downtown/Rainey St Luxury Apartment",12655488,"Jessica",null,78701,30.25798,-97.73882,"Entire home/apt",1000,1,0,null,null,2,0,0,null
"Rainey St. Luxury Apartment",12655488,"Jessica",null,78701,30.2576,-97.74081,"Entire home/apt",1000,1,0,null,null,2,0,0,null
"East / Downtown home for SXSW",12657065,"Christopher",null,78722,30.28435,-97.72224,"Entire home/apt",500,1,0,null,null,1,0,0,null
"Great Space for Exploring Austin",12668275,"Sarah",null,78753,30.38645,-97.66244,"Private room",159,2,24,"2018-07-22",0.4,1,0,0,null
"Treetop Cottage",10016722,"Michael",null,78736,30.24655,-97.91117,"Entire home/apt",150,2,44,"2021-07-22",0.6,1,240,3,null
"SXSW - Only 15 minutes via train!",921412,"Lindsey",null,78757,30.34068,-97.71765,"Entire home/apt",300,1,0,null,null,1,0,0,null
"SOUTH CENTRAL HOUSE AVAIL. FOR SXSW",12575764,"Alyssa",null,78745,30.21881,-97.77955,"Entire home/apt",420,1,0,null,null,1,0,0,null
"Comfortable & Clean abode for SXSW",12703001,"Karen",null,78723,30.30949,-97.6925,"Entire home/apt",500,1,0,null,null,1,0,0,null
"5 minutes from all the fun guys!",12584768,"Blake",null,78722,30.28457,-97.71573,"Entire home/apt",225,1,0,null,null,1,0,0,null
"East Austin SXSW",965847,"Stacy",null,78702,30.27734,-97.7131,"Entire home/apt",650,3,1,"2014-03-17",0.01,1,0,0,null
"SXSW PAD !!! GET IT FAST!!!",12736010,"Steven",null,78751,30.3086,-97.72577,"Entire home/apt",775,1,0,null,null,1,0,0,null
"Eastside Tiny Cottage & Cat Haven Near Downtown",5242228,"Steve & Monica",null,78702,30.2714,-97.71659,"Entire home/apt",138,2,132,"2021-08-22",1.53,1,2,19,null
"Modern 3 Bedroom Home 5 min from downtown",12761140,"Brittany",null,78723,30.29727,-97.70205,"Entire home/apt",385,2,124,"2021-10-03",18.98,2,175,18,null
"Unique Zilker condo w loft for SXSW",3655679,"Nicole",null,78704,30.26041,-97.7716,"Entire home/apt",450,4,0,null,null,1,356,0,null
"Cozy nook 5 miles from DT SXSW",12778060,"Adam",null,78702,30.27797,-97.70351,"Private room",100,2,0,null,null,1,0,0,null
"""Eastside Spartan - Near Downtown,UT""",1975748,"Meredith",null,78702,30.27856,-97.72146,"Entire home/apt",105,1,569,"2021-09-28",14.61,5,352,70,null
"Room Downtown for SXSW!",12223312,"Peter",null,78702,30.26502,-97.70161,"Private room",100,1,1,"2014-03-18",0.01,1,0,0,null
"SXSW! Private apartment for rent",12801923,"Will",null,78723,30.31681,-97.68729,"Private room",200,1,0,null,null,1,0,0,null
"""Private Room w/ Bath, Easy Commute""",12808722,"Jw",null,78705,30.29676,-97.74621,"Private room",115,2,2,"2015-03-25",0.02,1,0,0,null
"""Comfortable, Convenient- SXSW!""",12122568,"Brian",null,78703,30.29431,-97.7597,"Private room",175,2,0,null,null,1,0,0,null
"SXSW 2608 W. 8th St.  - 2 BDRM",12846473,"Veronica",null,78703,30.28341,-97.77617,"Entire home/apt",400,1,0,null,null,1,0,0,null
"""Cozy, Furnished Room on Busline""",12862327,"Megan",null,78751,30.3113,-97.73021,"Private room",200,1,0,null,null,1,0,0,null
"SXSW HOME RENTAL CLOSE TO DOWNTOWN",12874023,"Chris",null,78702,30.27605,-97.71759,"Entire home/apt",1028,1,0,null,null,1,0,0,null
"Cozy CENTRAL Private Condo (1Bed/B)",2961708,"Joe",null,78705,30.28619,-97.72579,"Entire home/apt",187,2,18,"2021-10-10",0.2,1,78,5,null
"Townhome in Hyde Park",7025084,"Trevor",null,78751,30.30513,-97.72406,"Entire home/apt",200,1,1,"2015-03-15",0.01,1,0,0,null
"Bouldin Avenue Studio",9599503,"Billy",null,78704,30.25558,-97.75642,"Entire home/apt",150,3,200,"2021-09-19",2.72,1,153,18,null
"N Cat Mtn retreat",5839290,"Ron",null,78731,30.36524,-97.78295,"Private room",225,1,0,null,null,1,0,0,null
"2 Bdr Quiet by Downtown Jan 25th on",12908793,"Alan",null,78741,30.24093,-97.73383,"Entire home/apt",165,28,0,null,null,1,0,0,null
"ACL COZY BEDROOM NEAR DOWNTOWN!",12923614,"Laura",null,78745,30.2123,-97.76242,"Private room",110,1,34,"2021-09-07",0.61,1,362,3,null
"ACL Fest Stay in eclectic Austin home",5091069,"Rachel And Drew",null,78752,30.335,-97.71539,"Entire home/apt",180,2,16,"2018-10-21",0.19,1,0,0,null
"Garden Cottage in East Austin",5152543,"Marcella",null,78723,30.29739,-97.68219,"Entire home/apt",81,1,830,"2021-09-29",9.11,2,316,109,null
"#SWSW-one exit away!! Book ASAP.",12931899,"Molly",null,78741,30.24041,-97.73206,"Entire home/apt",300,1,0,null,null,1,0,0,null
"Fantastic 2br Full House in Soco!",12951616,"Kit",null,78704,30.24755,-97.75498,"Entire home/apt",227,2,19,"2015-10-27",0.24,1,286,0,null
"""Quiet, Comfortable, Great Location- 30 nights min.""",13035711,"Stephanie",null,78704,30.24528,-97.77725,"Entire home/apt",83,30,20,"2021-08-22",0.33,1,222,1,null
"Hip Condo In South Austin!",13040118,"Edward",null,78704,30.23488,-97.78444,"Entire home/apt",82,3,37,"2021-01-03",0.85,1,289,1,null
"FREE HOUSING FOR TICKETS JAYZ/KANYE",13061865,"Jacy",null,78735,30.24327,-97.81764,"Private room",70,1,0,null,null,1,0,0,null
"Private Guest Room in Lovely Townhome",1844303,"Genny",null,78723,30.29966,-97.70025,"Private room",120,3,10,"2019-03-12",0.15,1,0,0,null
"""3/3 Ultra Lux Home, Private, Central, Hyde Park""",13098390,"Ross",null,78751,30.30751,-97.71955,"Entire home/apt",499,2,10,"2019-11-30",0.23,1,0,0,null
"The Purple Room",1834167,"Grace Marie",null,78722,30.28435,-97.71735,"Entire home/apt",85,2,374,"2021-10-11",5.59,2,325,39,null
"Amazing East Austin Location",2448715,"Stefan",null,78702,30.26191,-97.72718,"Private room",57,2,0,null,null,1,0,0,null
"Artisan's Studio Apartment",11897676,"Gale (Adriana)",null,78733,30.34875,-97.85871,"Entire home/apt",119,3,37,"2021-09-27",0.55,3,320,5,null
"3 Story House Over Lake Austin",13569418,"Nathan",null,78734,30.37581,-97.92098,"Entire home/apt",5000,3,129,"2020-07-27",1.87,1,179,0,null
"""Charming Bottom Floor, 2 Bedroom 2 Bath Condo""",10010707,"Francene",null,78757,30.35497,-97.73553,"Entire home/apt",73,30,21,"2021-09-30",0.24,1,248,4,null
"Luxury Home! 5 Blocks to E 6th. Walk Downtown!",5367671,"Jeremy",null,78702,30.26462,-97.71791,"Entire home/apt",482,3,139,"2021-10-11",2.11,2,67,29,null
"2 Bedroom 2 Bath Condo Near DWTN/UT",13710115,"Will",null,78705,30.29418,-97.73674,"Entire home/apt",138,2,97,"2021-10-11",1.33,1,145,7,null
"SoLa/Soco/downtown convenience",13752896,"Kelly And Mark",null,78704,30.23583,-97.76868,"Entire home/apt",161,2,183,"2018-09-30",2.69,1,0,0,null
"\"The Westrock\" 3/2 in Barton Hills!",579290,"Jay",null,78704,30.24432,-97.78553,"Entire home/apt",237,4,41,"2021-10-11",0.47,24,84,11,null
"Charming 2BR house in East Austin.",9983041,"Fiore",null,78721,30.26723,-97.68466,"Entire home/apt",129,1,62,"2021-09-06",0.76,3,36,1,null
"""Charming, updated condo""",13898735,"Vanessa",null,78759,30.37652,-97.7409,"Entire home/apt",150,2,87,"2021-05-25",2.11,1,165,1,null
"Central East Austin Cottage 78722",13934159,"Katie",null,78722,30.28623,-97.71361,"Entire home/apt",500,2,0,null,null,1,0,0,null
"BRYKERWOODS COTTAGE",14001503,"Ramona",null,78703,30.30269,-97.752,"Entire home/apt",120,7,11,"2021-10-02",0.55,1,272,4,null
"Comfortable Condo  (walkable area)",376422,"Derek",null,78757,30.35908,-97.73071,"Entire home/apt",70,28,30,"2021-04-21",0.37,1,39,3,null
"""Treetops remodeled 2/1 in Barton Hills, king bed""",579290,"Jay",null,78704,30.24558,-97.78511,"Entire home/apt",219,3,101,"2021-07-30",1.35,24,199,11,null
"2/1 with awesome patio near Zilker",579290,"Jay",null,78704,30.24558,-97.78511,"Entire home/apt",170,3,55,"2021-04-24",2.09,24,212,1,null
"◇South Austin Private room◇",7567467,"Chalu",null,78739,30.18931,-97.88902,"Private room",59,7,33,"2021-07-25",0.82,10,73,3,null
"ACL Austin Sanctuary",7440744,"Jenny",null,78703,30.27407,-97.75546,"Entire home/apt",144,2,220,"2021-10-11",3.12,2,156,11,null
"ACL Austin Treehouse",7440744,"Jenny",null,78703,30.27393,-97.75779,"Entire home/apt",200,2,64,"2019-10-07",0.81,2,132,0,null
"Happy Camper",880571,"Angel",null,78702,30.2746,-97.71477,"Entire home/apt",63,2,497,"2021-09-06",5.5,4,120,69,null
"Zilker Getaway: Saltwater Pool and Walk to ACL",14747714,"Carrye",null,78704,30.25536,-97.77633,"Entire home/apt",1643,2,9,"2021-10-11",3.6,2,226,8,null
"★ Mid-Century Modern near SoCo + DT ★",80406,"Dani",null,78704,30.24097,-97.7417,"Entire home/apt",239,1,167,"2021-10-11",2.11,12,120,22,null
"""Bouldin Modern (SXSW,ACL,downtown)""",3394736,"Eric",null,78704,30.25442,-97.75609,"Entire home/apt",500,3,6,"2015-09-12",0.08,1,0,0,null
"Modern Bungalow + Guest House in East Downtown",2436512,"Crystal",null,78702,30.25766,-97.72323,"Entire home/apt",586,2,47,"2019-08-04",0.59,6,217,0,null
"Clarksville Treehouse.",15119022,"Katherine",null,78703,30.27404,-97.76131,"Entire home/apt",389,2,0,null,null,1,175,0,null
"Kick Back on the Inky Velvet Couch at an Eastside Treehouse",7041918,"Mitch",null,78702,30.25772,-97.7135,"Entire home/apt",834,2,89,"2021-09-12",1.04,1,346,24,null
"Downtown Rock Royalty Hotel Suite",4929310,"Ryan",null,78701,30.26609,-97.74278,"Entire home/apt",581,1,146,"2021-09-06",3.35,28,314,11,null
"""2 blks to Park, Springs, River, Trails, 2 mi to DT""",15219795,"Cynthia",null,78704,30.25976,-97.77286,"Entire home/apt",161,3,84,"2021-10-11",1.5,9,252,4,null
"Three-bedroom house in Mueller",15242429,"Jen",null,78723,30.29445,-97.70453,"Entire home/apt",200,2,3,"2016-08-02",0.05,1,0,0,null
"""Accessible Duplex Walking Distance to Park, Springs & Trails""",15219795,"Cynthia",null,78704,30.25912,-97.77453,"Entire home/apt",205,3,81,"2021-10-11",0.98,9,244,15,null
"◇South Austin Private room2◇",7567467,"Chalu",null,78739,30.18942,-97.88849,"Private room",59,30,35,"2021-06-09",0.63,10,252,1,null
"Perfectly Located 2/2 - S. Austin",1634035,"Mike",null,78704,30.24583,-97.76008,"Entire home/apt",164,2,86,"2021-10-11",1.58,1,333,24,null
"""Duplex by Park, Springs, Trails, River; 2 mi to DT""",15219795,"Cynthia",null,78704,30.25893,-97.77603,"Entire home/apt",205,3,86,"2021-10-04",1,9,223,20,null
"""East Austin Guest Room, Dog Friendly!""",15422517,"Jennifer",null,78741,30.22552,-97.69555,"Private room",60,1,8,"2020-03-16",0.4,1,0,0,null
"""Zilker, Downtown Austin view""",14613487,"Susana",null,78704,30.2589,-97.75918,"Entire home/apt",200,2,14,"2021-07-18",0.16,1,294,4,null
"Spacious 4/3 in Central Austin",15438805,"EmilyAnne",null,78756,30.3249,-97.73674,"Entire home/apt",411,3,13,"2019-10-09",0.41,1,359,0,null
"Retro Central Austin Suite",12039578,"Micki",null,78703,30.30769,-97.75205,"Private room",48,30,138,"2020-06-21",1.64,2,0,0,null
"Spacious 3BR Home - close to Downtown/ACL/SXSW",4870151,"Rachel",null,78704,30.25386,-97.75944,"Entire home/apt",399,3,50,"2021-10-13",0.73,2,0,20,null
"The Littlefields by Lodgewell | Updated Loft  | A5",15782486,"Lodgewell",null,78701,30.26669,-97.74085,"Entire home/apt",318,1,141,"2021-08-01",2.18,34,162,11,null
"The Littlefields by Lodgewell | Modern Loft | B6",15782486,"Lodgewell",null,78701,30.2685,-97.7422,"Entire home/apt",268,1,169,"2021-09-07",3.9,34,165,6,null
"Stylish Austin Flat for Rent",15811157,"Shumit",null,78723,30.30773,-97.704865,"Entire home/apt",101,3,4,"2021-10-11",4,1,0,4,null
"Tranquil South Austin Gem for Families -Big Yard",15769878,"Chelsea",null,78745,30.19758,-97.81175,"Entire home/apt",296,30,45,"2021-09-04",1.82,1,89,1,null
"The Littlefields by Lodgewell | Trio of Balconies",15782486,"Lodgewell",null,78701,30.26887,-97.74316,"Entire home/apt",377,1,131,"2021-08-29",4.15,34,117,10,null
"Home in HEART of SOCO! 1 block to all the action!",3947597,"Chad",null,78704,30.2461,-97.75117,"Entire home/apt",600,2,45,"2021-10-11",0.77,3,209,13,null
"Spacious Apt. on S. Lamar",2719428,"Kaleigh",null,78704,30.23806,-97.78722,"Entire home/apt",250,2,1,"2015-10-05",0.01,2,0,0,null
"South Congress Escape",51183342,"Hunter",null,78704,30.24855,-97.75028,"Entire home/apt",239,2,52,"2021-09-26",0.76,5,19,30,null
"perfect south lamar suite! 78704",175669,"Rachel",null,78704,30.23888,-97.77393,"Private room",105,30,4,"2014-09-28",0.05,2,287,0,null
"DISINFECTED!!!DOWNTOWN AUSTIN-2 BLOCKS TO 6thST",16047277,"Mireille",null,78703,30.27452,-97.75682,"Entire home/apt",202,1,259,"2021-02-15",3.43,12,320,8,null
"ALL *WATER* RECREATION right HERE! SUP/KAYAK/SWIM",16243944,"Lisa",null,78704,30.26136,-97.76852,"Entire home/apt",3200,3,4,"2021-06-13",0.07,3,340,1,null
"Modern Downtown Austin Condo for 2!",382510,"Christina",null,78701,30.27014,-97.74169,"Entire home/apt",175,30,35,"2021-10-07",0.45,2,58,8,null
"The Traveler 2/1 w/ private hot tub",579290,"Jay",null,78704,30.2454,-97.7852,"Entire home/apt",154,3,101,"2021-10-07",1.22,24,245,19,null
"2 bedrm Private Pool on Lake Travis",16350192,"Kimberly",null,78732,30.4165,-97.88943,"Entire home/apt",149,1,284,"2021-07-05",7.68,1,0,1,null
"Sunny 1 BR Apt in Travis Heights",19004136,"Adriana",null,78704,30.23777,-97.74116,"Entire home/apt",59,31,28,"2020-11-20",0.32,1,0,1,null
"1Br/1Ba on Greenbelt; Close to DT",16542867,"Staci",null,78735,30.24017,-97.81782,"Entire home/apt",89,5,0,null,null,1,0,0,null
"Gorgeous Central Austin Bungalow",7335335,"Lorna",null,78756,30.31291,-97.74051,"Entire home/apt",349,2,22,"2021-08-08",0.29,2,36,6,null
"Private Studio off South Congress!",16643010,"Isabel",null,78704,30.24202,-97.75019,"Entire home/apt",94,3,20,"2021-08-09",0.24,1,228,1,null
"Explore Downtown Austin from a Designer Condo",1488733,"Vacasa Texas",null,78703,30.27322,-97.75479,"Entire home/apt",228,2,92,"2021-06-03",3.74,21,363,8,null
"Explore the Heart of Austin from an Airy Studio",16647148,"Elizabeth",null,78705,30.28903,-97.72792,"Entire home/apt",108,2,43,"2019-11-17",1.2,1,0,0,null
"The Norwalk by Lodgewell >>Tarrytown Vintage Vibes",15782486,"Lodgewell",null,78703,30.28875,-97.7718,"Entire home/apt",237,1,86,"2021-09-19",2.08,34,173,8,null
"The Littlefields by Lodgewell | Work From Home! B3",15782486,"Lodgewell",null,78701,30.26921,-97.74289,"Entire home/apt",279,1,158,"2021-08-22",5.81,34,163,11,null
"""Stylish, Quiet Retreat. Yard and Fiber Internet""",80406,"Dani",null,78704,30.24545,-97.74007,"Entire home/apt",209,1,109,"2021-09-12",1.66,12,93,18,null
"Music Paradise (Private Room)",337459,"Earphoria",null,78756,30.32478,-97.73929,"Private room",55,1,26,"2021-09-19",0.46,1,317,6,null
"Stroll to the River from a Serene Home in Holly",17088289,"Amina",null,78702,30.25131,-97.72413,"Entire home/apt",141,1,451,"2021-09-28",6.64,4,255,66,null
"Country living near the City",2946632,"Ellen And Tom",null,78737,30.18493,-97.94346,"Entire home/apt",135,7,12,"2021-09-17",0.33,1,211,3,null
"Monet's Cottage (main home)",11897676,"Gale (Adriana)",null,78733,30.34685,-97.85819,"Entire home/apt",129,3,9,"2021-10-03",0.1,3,319,1,null
"Roadside Attraction: Walk Downtown",880571,"Angel",null,78702,30.26934,-97.72366,"Entire home/apt",75,2,435,"2021-09-26",6.73,4,62,43,null
"Modern remodeled house with pool",15896164,"Catherine",null,78741,30.24538,-97.73281,"Entire home/apt",600,3,9,"2019-11-04",0.11,1,156,0,null
"Tiny garden cottage",8243517,"Jennifer",null,78702,30.2599,-97.73052,"Entire home/apt",125,3,171,"2020-03-31",5.32,2,180,0,null
"""Cozy Studio 2blks from Park, Springs; 2 mi to DT!""",15219795,"Cynthia",null,78704,30.26108,-97.77264,"Entire home/apt",122,3,74,"2021-10-04",0.93,9,269,17,null
"""View - 2 blks to Park, Springs, Trails; 2 mi to DT""",15219795,"Cynthia",null,78704,30.25976,-97.77286,"Entire home/apt",181,3,77,"2021-10-04",1.18,9,226,9,null
"Private Room In North Austin",17601099,"Emily",null,78759,30.40539,-97.75274,"Private room",55,1,0,null,null,1,0,0,null
"Home/Private deck near Zilker Park",16254839,"Mary",null,78704,30.25431,-97.77612,"Entire home/apt",115,31,68,"2019-06-01",0.8,1,134,0,null
"Home Base in Central Austin",17692740,"Andrew",null,78751,30.31031,-97.71602,"Entire home/apt",165,2,9,"2021-10-03",9,1,239,2,null
"Spacious Condo: All Yours!",17480862,"Blake",null,78745,30.20956,-97.81898,"Entire home/apt",64,29,27,"2021-10-10",0.55,1,206,7,null
"Cozy Cottage in East Austin",17819821,"James",null,78702,30.26613,-97.71821,"Entire home/apt",115,2,70,"2020-03-01",0.87,1,188,0,null
"""Garage apt, 1 mile from downtown!!""",16173856,"Allen",null,78702,30.25515,-97.72006,"Entire home/apt",104,3,274,"2020-03-13",4.78,1,0,0,null
"Luxury Modern home in Barton Hills",9676984,"Caroline",null,78704,30.25676,-97.7834,"Entire home/apt",596,2,19,"2019-10-13",0.22,1,193,0,null
"1 BEDROOM APT RENTAL FOR ACL",11941581,"Cameron",null,78741,30.24884,-97.7354,"Entire home/apt",500,1,0,null,null,1,0,0,null
"Glamorous and Tranquil Suite Steps from South Congress",16787151,"Barbara And Robert",null,78704,30.24585,-97.75284,"Entire home/apt",190,2,148,"2021-10-04",2.01,2,114,43,null
"The Littlefields by Lodgewell | Downtown Loft | A4",15782486,"Lodgewell",null,78701,30.26857,-97.74219,"Entire home/apt",319,1,130,"2021-09-06",2.29,34,164,9,null
"The Littlefields by Lodgewell | Heart of ATX | A6",15782486,"Lodgewell",null,78701,30.26818,-97.74281,"Entire home/apt",257,1,174,"2021-09-15",3.98,34,152,8,null
"The Littlefields by Lodgewell - Stylish Downtown Loft",15782486,"Lodgewell",null,78701,30.26702,-97.74087,"Entire home/apt",338,1,138,"2021-07-23",4.62,34,160,5,null
"Entire Bungalow and Private Casita in Bouldin",1424080,"Lisa",null,78704,30.2525,-97.75655,"Entire home/apt",576,3,0,null,null,3,29,0,null
"Charming Centrally Located Bungalow",5628118,"Kim",null,78702,30.28055,-97.7054,"Entire home/apt",150,30,4,"2021-06-21",0.05,1,37,3,null
"Key-to-Austin",18153980,"Kristine",null,78745,30.22916,-97.79472,"Entire home/apt",98,1,235,"2021-10-04",3.54,6,344,48,null
"""The Littlefields by Lodgewell, Urban Loft by Driskill Hotel""",15782486,"Lodgewell",null,78701,30.26784,-97.74289,"Entire home/apt",338,1,123,"2021-09-05",2.94,34,167,6,null
"South Congress Condo",11827131,"Allison",null,78704,30.23866,-97.74815,"Entire home/apt",214,2,21,"2019-03-18",0.49,1,0,0,null
"Amazing Downtown Town Home",746455,"Michael",null,78703,30.27722,-97.75142,"Entire home/apt",599,3,40,"2021-09-06",0.47,4,266,4,null
"Austin Downtown-Adjacent Private & Updated condo!",8678004,"Eirian",null,78704,30.24323,-97.76131,"Entire home/apt",65,68,24,"2021-06-30",0.28,1,296,4,null
"Casita Riad - Oasis in the Heart of Austin",8638145,"Pam",null,78703,30.28365,-97.7605,"Entire home/apt",150,30,22,"2021-05-07",0.3,1,307,5,null
"Sophisticated Bohemian Townhouse near the East Side",2304514,"Katrina",null,78702,30.25881,-97.72616,"Entire home/apt",475,2,85,"2021-10-11",1.09,1,64,18,null
"""Work from Home, Private Urban Oasis with Mid-Century Style""",80406,"Dani",null,78704,30.24409,-97.74013,"Entire home/apt",204,1,112,"2021-09-28",1.66,12,110,6,null
"TajMaSmall Guest Suite",18775364,"Just",null,78757,30.33356,-97.73679,"Entire home/apt",101,2,336,"2021-10-01",4.02,1,130,54,null
"SoCo Home for Major Austin Events",4218754,"Jana",null,78704,30.23469,-97.75932,"Entire home/apt",223,2,7,"2019-07-21",0.13,2,300,0,null
"Zilker Park 1BR w/Parking",18164258,"Courtney",null,78704,30.25979,-97.77451,"Entire home/apt",250,3,2,"2015-10-13",0.02,1,0,0,null
"Hip Bouldin Bungalow 2br/1bath",5732962,"Brita",null,78704,30.2492,-97.75787,"Entire home/apt",236,3,29,"2021-05-16",0.33,1,9,4,null
"Clean and Relaxing Getaway. Explore Central Texas!",6297487,"Carol",null,78722,30.30429,-97.71279,"Private room",74,2,369,"2021-10-10",12.9,1,348,41,null
"Gorgeous home in South Austin",408387,"Tanya",null,78745,30.22915,-97.81252,"Private room",86,30,1,"2017-06-18",0.02,1,299,0,null
